Garfield County, Utah, Average Temperature
Units: Degrees Fahrenheit,,
Base Period: 1901-2000,,
Date,Value,Anomaly
,,
198001,30.8,4.5
198002,34.6,3.7
198003,34,-3.2
198004,44.5,-0.5
198005,50.7,-3.4
198006,63.6,0
198007,71.2,1.1
198008,67.4,-0.4
198009,60,0
198010,48.1,-0.7
198011,38.5,1.9
198012,36.3,8.4
198101,33.7,7.4
198102,33.9,3
198103,36.8,-0.4
198104,49.2,4.2
198105,53.3,-0.8
198106,67.9,4.3
198107,71.5,1.4
198108,68.1,0.3
198109,61.3,1.3
198110,46.3,-2.5
198111,39.9,3.3
198112,32.2,4.3
198201,26.4,0.1
198202,29.3,-1.6
198203,37.1,-0.1
198204,43.2,-1.8
198205,53.5,-0.6
198206,61.7,-1.9
198207,68.7,-1.4
198208,67.7,-0.1
198209,59.7,-0.3
198210,44.4,-4.4
198211,34.2,-2.4
198212,27.7,-0.2
198301,28.9,2.6
198302,33.8,2.9
198303,37.6,0.4
198304,39.2,-5.8
198305,51.8,-2.3
198306,61.7,-1.9
198307,68.9,-1.2
198308,68.4,0.6
198309,62.6,2.6
198310,50,1.2
198311,37.1,0.5
198312,29.7,1.8
198401,25.7,-0.6
198402,29.5,-1.4
198403,36.7,-0.5
198404,41.9,-3.1
198405,59.3,5.2
198406,62.2,-1.4
198407,70.4,0.3
198408,68.3,0.5
198409,61.6,1.6
198410,43.4,-5.4
198411,36.2,-0.4
198412,27.6,-0.3
198501,26.4,0.1
198502,27.3,-3.6
198503,36.6,-0.6
198504,48.6,3.6
198505,55.3,1.2
198506,66.5,2.9
198507,71,0.9
198508,69.2,1.4
198509,56,-4
198510,48.7,-0.1
198511,35.9,-0.7
198512,30.5,2.6
198601,34.1,7.8
198602,35.5,4.6
198603,43.5,6.3
198604,45.6,0.6
198605,54.7,0.6
198606,66.8,3.2
198607,68.5,-1.6
198608,70,2.2
198609,55.4,-4.6
198610,45.9,-2.9
198611,37.7,1.1
198612,29.7,1.8
198701,25.4,-0.9
198702,31.4,0.5
198703,35,-2.2
198704,48.7,3.7
198705,54.6,0.5
198706,66.6,3
198707,67.8,-2.3
198708,67,-0.8
198709,60.6,0.6
198710,52.4,3.6
198711,36,-0.6
198712,26.6,-1.3
198801,24.6,-1.7
198802,32.8,1.9
198803,36.4,-0.8
198804,46.1,1.1
198805,53.8,-0.3
198806,67,3.4
198807,72.5,2.4
198808,68.5,0.7
198809,59.1,-0.9
198810,54.9,6.1
198811,37.7,1.1
198812,27.7,-0.2
198901,21.9,-4.4
198902,28.2,-2.7
198903,43.6,6.4
198904,51.8,6.8
198905,56.3,2.2
198906,64,0.4
198907,72.8,2.7
198908,67.2,-0.6
198909,61,1
198910,49.3,0.5
198911,39.6,3
198912,30.6,2.7
199001,28.2,1.9
199002,31.4,0.5
199003,41.4,4.2
199004,48.9,3.9
199005,53.8,-0.3
199006,67.7,4.1
199007,70.9,0.8
199008,68,0.2
199009,63,3
199010,50,1.2
199011,37.3,0.7
199012,22.2,-5.7
199101,24,-2.3
199102,35.6,4.7
199103,34.5,-2.7
199104,42.4,-2.6
199105,52.1,-2
199106,62.6,-1
199107,70.8,0.7
199108,68.8,1
199109,61.2,1.2
199110,52,3.2
199111,35.7,-0.9
199112,27.1,-0.8
199201,24.4,-1.9
199202,33.8,2.9
199203,40,2.8
199204,52.2,7.2
199205,56.9,2.8
199206,63.2,-0.4
199207,68,-2.1
199208,68.5,0.7
199209,61.9,1.9
199210,52.9,4.1
199211,32.6,-4
199212,23.9,-4
199301,28.3,2
199302,30,-0.9
199303,40.7,3.5
199304,45.9,0.9
199305,55.8,1.7
199306,61.9,-1.7
199307,68.6,-1.5
199308,66.9,-0.9
199309,60.5,0.5
199310,48,-0.8
199311,33.6,-3
199312,28.1,0.2
199401,30.8,4.5
199402,29.4,-1.5
199403,42.6,5.4
199404,46.8,1.8
199405,56.1,2
199406,69.5,5.9
199407,73.1,3
199408,71.9,4.1
199409,62.1,2.1
199410,47.6,-1.2
199411,31.6,-5
199412,29.4,1.5
199501,28.6,2.3
199502,40.1,9.2
199503,39.4,2.2
199504,43.7,-1.3
199505,50.2,-3.9
199506,59.9,-3.7
199507,69.4,-0.7
199508,71.2,3.4
199509,62.4,2.4
199510,50.5,1.7
199511,42.5,5.9
199512,32.7,4.8
199601,30.9,4.6
199602,36.6,5.7
199603,40.4,3.2
199604,46.8,1.8
199605,58.6,4.5
199606,68,4.4
199607,73.8,3.7
199608,71,3.2
199609,58.7,-1.3
199610,47.5,-1.3
199611,37.8,1.2
199612,30.6,2.7
199701,28.6,2.3
199702,30.6,-0.3
199703,42.8,5.6
199704,42.7,-2.3
199705,57.9,3.8
199706,64.7,1.1
199707,69.4,-0.7
199708,67.8,0
199709,60.8,0.8
199710,48,-0.8
199711,37.7,1.1
199712,27.8,-0.1
199801,31.9,5.6
199802,30,-0.9
199803,38.1,0.9
199804,42.4,-2.6
199805,53.3,-0.8
199806,60.5,-3.1
199807,72.2,2.1
199808,70.7,2.9
199809,61.1,1.1
199810,47.3,-1.5
199811,37.6,1
199812,29.1,1.2
199901,33.4,7.1
199902,34.9,4
199903,42.8,5.6
199904,40.7,-4.3
199905,52.9,-1.2
199906,63.5,-0.1
199907,70.1,0
199908,66.4,-1.4
199909,59.4,-0.6
199910,52.1,3.3
199911,41.8,5.2
199912,29.4,1.5
200001,32.6,6.3
200002,35.4,4.5
200003,38.6,1.4
200004,51.1,6.1
200005,60.1,6
200006,67.7,4.1
200007,72.9,2.8
200008,71.5,3.7
200009,62.2,2.2
200010,48.9,0.1
200011,30.6,-6
200012,31.9,4
200101,27.5,1.2
200102,32,1.1
200103,40.6,3.4
200104,46.7,1.7
200105,58.9,4.8
200106,66.7,3.1
200107,70.6,0.5
200108,69.7,1.9
200109,64.2,4.2
200110,53,4.2
200111,39.2,2.6
200112,26.6,-1.3
200201,27.7,1.4
200202,31.2,0.3
200203,36.7,-0.5
200204,50.8,5.8
200205,56.2,2.1
200206,69.2,5.6
200207,75,4.9
200208,70.3,2.5
200209,60.4,0.4
200210,47.2,-1.6
200211,37,0.4
200212,29.1,1.2
200301,35.9,9.6
200302,31.7,0.8
200303,39.8,2.6
200304,44.8,-0.2
200305,57.2,3.1
200306,66.1,2.5
200307,76.2,6.1
200308,71,3.2
200309,62.5,2.5
200310,55.6,6.8
200311,35.3,-1.3
200312,30.2,2.3
200401,26.9,0.6
200402,28.2,-2.7
200403,45.6,8.4
200404,47,2
200405,57.1,3
200406,65.6,2
200407,70.8,0.7
200408,67.9,0.1
200409,59.7,-0.3
200410,47.8,-1
200411,35.4,-1.2
200412,30.1,2.2
200501,33.3,7
200502,34,3.1
200503,38.9,1.7
200504,45.7,0.7
200505,56.2,2.1
200506,61.7,-1.9
200507,73.9,3.8
200508,66.6,-1.2
200509,60.8,0.8
200510,50.2,1.4
200511,40,3.4
200512,30.6,2.7
200601,30.4,4.1
200602,33.6,2.7
200603,35.7,-1.5
200604,47.9,2.9
200605,59,4.9
200606,68.7,5.1
200607,73.3,3.2
200608,68.4,0.6
200609,57.2,-2.8
200610,47.2,-1.6
200611,39.1,2.5
200612,29.3,1.4
200701,26,-0.3
200702,35.3,4.4
200703,43,5.8
200704,48,3
200705,57.1,3
200706,67.7,4.1
200707,74.5,4.4
200708,71.1,3.3
200709,61.3,1.3
200710,48.8,0
200711,42,5.4
200712,26.2,-1.7
200801,24,-2.3
200802,31.4,0.5
200803,38.7,1.5
200804,44,-1
200805,52.4,-1.7
200806,65.4,1.8
200807,73,2.9
200808,70.8,3
200809,61.8,1.8
200810,50.5,1.7
200811,41.2,4.6
200812,27.8,-0.1
200901,31.3,5
200902,33.1,2.2
200903,39.8,2.6
200904,45.1,0.1
200905,59.7,5.6
200906,61.8,-1.8
200907,73,2.9
200908,69.2,1.4
200909,62.9,2.9
200910,46.4,-2.4
200911,39.8,3.2
200912,23.2,-4.7
201001,27.3,1
201002,29.4,-1.5
201003,37.2,0
201004,44.7,-0.3
201005,50.6,-3.5
201006,65.8,2.2
201007,72,1.9
201008,67.1,-0.7
201009,63.6,3.6
201010,50,1.2
201011,35.4,-1.2
201012,34.1,6.2
201101,27.6,1.3
201102,29.1,-1.8
201103,39.6,2.4
201104,44.4,-0.6
201105,51.1,-3
201106,64,0.4
201107,70.5,0.4
201108,71.3,3.5
201109,62.1,2.1
201110,50.2,1.4
201111,36.9,0.3
201112,28,0.1
201201,32.5,6.2
201202,31.8,0.9
201203,41.6,4.4
201204,49.6,4.6
201205,58.7,4.6
201206,69.4,5.8
201207,71.2,1.1
201208,71.1,3.3
201209,63.1,3.1
201210,51.7,2.9
201211,41.6,5
201212,28,0.1
201301,23.8,-2.5
201302,29.4,-1.5
201303,42,4.8
201304,46.4,1.4
201305,55.4,1.3
201306,69.5,5.9
201307,72.8,2.7
201308,68.4,0.6
201309,60.6,0.6
201310,46.3,-2.5
201311,38,1.4
201312,25.4,-2.5
201401,32.7,6.4
201402,37,6.1
201403,40.8,3.6
201404,46.7,1.7
201405,54.9,0.8
201406,66.3,2.7
201407,73.2,3.1
201408,66.4,-1.4
201409,63.6,3.6
201410,53.1,4.3
201411,38.7,2.1
201412,31.6,3.7
201501,32.5,6.2
201502,39.2,8.3
201503,44.3,7.1
201504,46.3,1.3
201505,52.6,-1.5
201506,68.2,4.6
201507,68.8,-1.3
201508,69.4,1.6
201509,64.7,4.7
201510,53.3,4.5
201511,35.2,-1.4
201512,27.3,-0.6
201601,28,1.7
201602,34.9,4
201603,42.3,5.1
201604,46.8,1.8
201605,53.7,-0.4
201606,70.6,7
201607,72.1,2
201608,67.9,0.1
201609,60,0
201610,53.1,4.3
201611,41.6,5
201612,29.8,1.9
201701,29,2.7
201702,37.8,6.9
201703,45.3,8.1
201704,46.2,1.2
201705,55.1,1
201706,70,6.4
201707,73.2,3.1
201708,69.8,2
201709,60.6,0.6
201710,49.5,0.7
201711,44,7.4
201712,33.8,5.9
201801,33.8,7.5
201802,33.3,2.4
201803,39.3,2.1
201804,49.6,4.6
201805,57.7,3.6
201806,69.7,6.1
201807,74.5,4.4
201808,71.4,3.6
201809,65.2,5.2
201810,47,-1.8
201811,36.4,-0.2
201812,28.3,0.4
201901,28.3,2
201902,26.3,-4.6
201903,39.1,1.9
201904,49.3,4.3
201905,49.2,-4.9
201906,63.5,-0.1
201907,71.6,1.5
201908,71.8,4
201909,63.4,3.4
201910,44.6,-4.2
201911,39.3,2.7
201912,28.7,0.8
202001,28.2,1.9
